"CC(=O)N1C[C@@H]2CCC[C@H](NC(=O)[C@@H](C)C3CCC3)[C@H]2C1","ZINC000457822563","CEAD"
"C[C@H]1C[C@H]1C(=O)NCCC1=CCN(CCc2ccc(F)c(F)c2)CC1","ZINC001159199179","EGAD"
"CCN1CC(NC(=O)[C@H]2CCC[C@@H](N(C)C)C2)C1","ZINC001031257201","CCAD"
"CCNCCCNC(=O)C(=O)N1CCCC12CCCCC2","ZINC000577356806","CDAD"
"COC(=O)[C@@H]1CNCCN1Cc1ccc(N(C)C)s1","ZINC001236054391","CCAD"
"C#CCCCNC(=O)C(=O)N[C@@H]1CCN2CCCC[C@H]12","ZINC000790263985","CCED"
"OC1(CCNC(=S)Nc2ccc(Cl)cc2)CCC1","ZINC000789376172","CFAD"
"COCC#CC(=O)N(C)Cc1nc(CCOC)no1","ZINC001118666267","CBED"
"CNC(=O)CC1CCN(C(=O)C(=O)NC[C@H]2CCC[C@H]2OC)CC1","ZINC000358722754","ECAD"
"CSc1ccnc(N[C@@H]2CCN(C(=O)CN(C)C(C)=O)C2)n1","ZINC001095020321","DCAD"
"CC(=O)CCCC(=O)N[C@@H]1C[C@H](NC(=O)c2cccs2)C12CCC2","ZINC001426594499","EFAD"
"C=CCC(CC=C)C(=O)NC[C@H]1COCCN1C(=O)Cc1ccoc1","ZINC001061611662","EDED"
"Cc1cccc(C)c1OC[C@@H](C)NC(=O)[C@@H]1CC1(F)F","ZINC000294612851","CFAD"
"CC(C)[C@H]1CCCN(C(=O)Nc2ccn(C)n2)CC1","ZINC000114813422","CFAD"
"C=CCOCCNC(=O)C(=O)N(C)C[C@H](O)C1CC1","ZINC001327053236","CBED"
"NCC[C@@H](NC(=O)[C@@H]1COCCN1)C(F)(F)F","ZINC000424172857","CBAD"
"CC(C)OC(=O)CC[C@@H](C)NC(=O)[C@@H](C)Oc1cccnc1","ZINC000352456017","DEAD"
"COc1cc2c(cc1NCc1nc([C@H](C)OC)no1)NC(=O)CC2","ZINC000274363158","EEAD"
"CNC(=O)NCCC(=O)NCC1(NCCc2cnn[nH]2)CC1","ZINC001576904082","DAAD"
"CCCN(C/C=C\Cl)CCNC(=O)Cc1c[nH]c2ccccc12","ZINC001731870653","EGAD"
"C[C@@H](CCCCO)NC(=O)c1ccc2c(c1)CCC2","ZINC000295450150","CEAD"
"CN(C[C@H]1CCCN1C(=O)c1ccc(F)s1)C(=O)c1ncccn1","ZINC001002649155","EEAD"
"Cc1cccc(C(=O)N[C@H]2CN(Cc3nccn3C)CC2(C)C)c1C","ZINC000977561636","EFAD"
"CC[C@@H](C)N(CC(=O)OC(C)(C)C)Cc1cccc(O)c1","ZINC000180936491","CGAD"
"CCn1cc(C#N)c(=O)n(C[C@H](O)CN(C)C2CC2)c1=O","ZINC000290843565","CBED"
"COC(=O)[C@@H]1C[C@@H]1C(=O)N1CC[C@H](C(=O)O)[C@@H](C)C1","ZINC000902162856","CCAD"
"Cn1cnnc1S(=O)(=O)NCc1nc([C@H]2CCCO2)n[nH]1","ZINC001413384804","DBAD"
"CC(C)CO[C@H](C)C(=O)N1CC[C@@H](CN=c2cc[nH]c(C#N)n2)C1","ZINC001098515116","EDED"
"CS(=O)(=O)CCCC(=O)N1CC(NC(=O)[C@@H]2CCNC(=O)C2)C1","ZINC001456252144","EAAD"
"C/C(=C/C(=O)NC[C@H](CC(C)C)C(=O)O)c1cccs1","ZINC000856924933","CGAD"
"Cc1nc(CN2CCCC[C@@H]2CNC(=O)[C@H]2CCNC2=O)n[nH]1","ZINC001024595343","DBAD"
"O=C(Cc1cncs1)N1CC[C@@](O)(CNC(=O)c2cccnn2)C1","ZINC001040677816","EBAD"
"C[C@@H](O)CNC[C@@H](C)N(C)C(=O)c1ccc(-n2ccnc2)nn1","ZINC001444688160","DCAD"
"C[C@H](C(=O)N[C@@H](CO)C(N)=O)N1Cc2ccccc2C1=O","ZINC001362664615","CAAD"
"CC(C)(C)OC(=O)[C@@H]1CCN(Cc2c(Cl)ncnc2Cl)C1","ZINC001233410089","EFAD"
"CC(=O)CCCC(=O)NCC[C@H](C)NC(=O)C(C)(C)C1CC1","ZINC001075599790","DEAD"
"C[C@H]1CN(Cc2ccccn2)CC[C@@H]1NCCCF","ZINC000126871788","CEAD"
"CCC[C@H](CC)C(=O)NCCNCc1ccns1","ZINC001135877700","CEAD"
"CC(C)n1cnc(C(=O)Nc2cc(C(N)=O)n(C)c2)c1","ZINC000336913410","CDAD"
"COCc1nc2n(n1)C[C@@H](NC(=O)N1CC(NC(C)=O)C1)CC2","ZINC000332927638","DBAD"
"CC(C)OCC(=O)N1CC(CNC(=O)CCc2cncnc2)C1","ZINC001374862356","DCAD"
"CCOCC(=O)N[C@@H]1C[C@H]2CC[C@@H]1N2Cc1cnns1","ZINC001110258368","CCAD"
"Cc1nc(O)[nH]c1C(=O)N[C@@H]1C[C@@H](C)N(C(=O)c2ncoc2C)C1","ZINC001012368888","ECAD"
"NC(=O)c1cc(C(=O)N[C@@H]2CCCN([C@H]3CCNC3=O)C2)co1","ZINC001008053185","DBAD"
"NC(=O)[C@@H]1CCCC[C@@H]1NC(=O)c1ccc(Cl)c(C(F)(F)F)c1","ZINC000152148025","EGAD"
"O=C1N[C@H](CC2CC2)C(=O)N1Cc1c(F)cccc1N1CCCC1","ZINC000925357609","EFAD"
"CNC(=O)C1(C(=O)N2CCC(S(=O)(=O)NC)CC2)CCC1","ZINC001324594185","DBAD"
"CN(CCC(=O)OC(C)(C)C)C(=O)c1ccc(OC(F)F)cn1","ZINC000357543214","EEAD"
"CO[C@@H]1CS(=O)(=O)C[C@H]1NC(=O)C(=O)NC[C@@H](N)C(C)C","ZINC000659717645","DAAD"
"COCC(=O)N1C[C@@H]2C(CNC(=O)[C@H]3CCNC(=O)C3)[C@H]2C1","ZINC001008933202","DAAD"
"CC[C@@H](C)S(=O)(=O)Nc1cc(Br)c(C)cc1F","ZINC001260740675","DGAD"
"CC(C)Cn1ccc(C(=O)N2CC[C@H](N(C)CCC3CCCC3)C2)n1","ZINC000971619080","EGAD"
"Cc1n[nH]c(C)c1[C@H](C)CC(=O)NCCOc1cccc(Cl)c1","ZINC000154445087","EGAD"
"O=C(NC[C@@]1(O)CCN(C(=O)[C@@H]2CCC(=O)NC2)C1)c1cocn1","ZINC001434330249","EAAD"
"C=CCn1nnn(CN2CCC(NS(=O)(=O)CC)CC2)c1=S","ZINC000919940721","ECED"
"CC[C@H](CNC(=O)c1ccccc1OC)NC(=O)c1ccc(C)o1","ZINC001409400900","EFAD"
"C=CCN1[C@@H]2CC[C@H]1[C@H](NC(=O)CN1CCOCC1=O)C2","ZINC001097226933","CBED"
"Cc1nc(C(=O)N[C@@H]2CC(=O)N(C3CN(CCO)C3)C2)co1","ZINC001094730384","DAAD"
"COCC(=O)N[C@H](C)CNCC(=O)N1CCC[C@H](NC(C)=O)C1","ZINC001379323260","EAAD"
"COc1cc(C)cc(C(=O)NCCc2nc(=N)[nH]o2)c1O","ZINC000436574202","CCAD"
"CC(=O)NCC(=O)NC[C@H]1COCCN1CCS(C)(=O)=O","ZINC001424097964","DAAD"
"COc1ccc(C(=O)NC[C@@H]2[C@H]3CN(C(C)C)C[C@H]32)cc1C","ZINC000978879273","DEAD"
"C[C@@H](CCc1cccc(F)c1)N1CC(=O)N(CC2CC2)C1","ZINC000435023536","CFAD"
"O=C(Cn1cnnn1)NC[C@H]1COCCN1CCO","ZINC001393498361","CAAD"
"CCOC(=O)CN(Cc1cc(C(=O)O)c(C)o1)CC(C)C","ZINC001596622324","CEAD"
"CCCC(=O)N1CCC[C@H](C(=O)N[C@H]2C[C@H](C)C[C@H](C)C2)C1","ZINC000246158603","DFAD"
"CCc1nnc(Cn2cnc(C(=O)C3CCCCC3)n2)s1","ZINC000664111322","DFAD"
"C[C@@H]1C[C@H](CO)CN(C(=O)[C@@H]2CCc3c[nH]nc3C2)C1","ZINC001451831296","CCAD"
"C[C@H]1[C@@H](NC(=O)CN2CC(=O)N(C)C2=O)CCN1C(=O)c1cc[nH]n1","ZINC001011523243","EBAD"
"CCCN(C(=O)c1n[nH]cc1C)[C@@H]1CCN(C(=O)Cn2cnnn2)C1","ZINC001387560901","EBAD"
"Cc1cc(CC(=O)N2CCN(CC(=O)NC(N)=O)CC2)n[nH]1","ZINC001112764135","DAAD"
"CC(C)(C)CCCN1CCCCC[C@H]1CNC(=O)c1cc[nH]n1","ZINC001329907113","DGAD"
"COCCN1CCN(C(=O)N[C@@H]2CNCC[C@H]2C)CC1=O","ZINC000333875516","CBAD"
"Cn1ccc(CN[C@@H]2CCN(C(=O)c3cnn(C)c3Cl)C2)n1","ZINC000969098018","DCAD"
"C[C@@H](Oc1cccnc1)C(=O)N1CCC[C@H](N(C)CC(N)=O)C1","ZINC001027569298","DCAD"
"CC(=O)[C@@H]1CCCN1C(=O)CC1CC(=O)NC(=O)C1","ZINC001182169392","CCAD"
"CCC(CC)(CC)C(=O)N(C)C[C@H](C)NC(=O)c1coc(C)c1","ZINC001281039966","DGAD"
"COc1ccc([N+](=O)[O-])cc1O[C@@H](C)C(F)(F)F","ZINC001225612140","CFBD"
"COC(=O)[C@H](C)Cc1ccc(NC(=O)CNC(=O)CN)cc1","ZINC000572283290","DCAD"
"CC(=O)NCC1(C)CCN(C(=O)Cc2c[nH]c3ccc(F)cc23)CC1","ZINC001432685592","EFAD"
"COc1ccc(C#N)cc1COC(=O)C1CC2(CCC2)C1","ZINC000830630400","CGED"
"Cn1cc(C(=O)NC2[C@H]3CN(C(=O)CN4C(=O)CCC4=O)C[C@H]23)nn1","ZINC001013043977","EAAD"
"CC(C)(C)CC(=O)N1CCC[C@@H](NC[C@@H]2CCCS(=O)(=O)C2)C1","ZINC000998557518","EDAD"
"COC(=O)[C@H](NC(=O)CCC(C)(F)F)[C@H]1CCC[C@H](OC)C1","ZINC000593345152","DEAD"
"C[C@]1(CC(=O)NCC[C@H]2C(=O)Nc3ccccc32)CC1(Cl)Cl","ZINC000822232449","EGAD"
"C[C@@H](CNC(=O)CC1CCCCC1)NC(=O)C1=CCCC1","ZINC001447775200","CFAD"
"CNC(=O)CCN(C)C(=O)C(=O)N[C@@H]1CCC[C@@H]1C","ZINC001322543213","CBAD"
"O=C(c1cn[nH]c1)N1CCOC2(CN(C(=O)C3[C@@H]4CCC[C@@H]34)C2)C1","ZINC000965312188","ECAD"
"C[C@@H](N[C@@H]1CCCN(C(=O)C(C2CC2)C2CC2)C1)C(=O)NC(C)(C)C","ZINC001210551835","EEAD"
"CN(C)C(=O)CC(=O)N[C@@H]1CCCN(C(=O)C2(C(N)=O)CC2)C1","ZINC001071217577","DAAD"
"CCc1ccsc1C(=O)N(C)C1CC(NC(=O)[C@H](F)CC)C1","ZINC001488579430","EFAD"
"N#CCNC(=O)CN1[C@@H]2CC[C@H]1[C@@H](NC(=O)C#CC1CC1)C2","ZINC001109251610","DBED"
"NC(=O)c1cc(C(=O)N[C@H]2CCN(c3ccccn3)C2)c[nH]1","ZINC000677117253","CCAD"
"Cc1cnc(C)nc1N1CCC[C@H](CCNC(=O)C2(C)CCCC2)C1","ZINC001102936062","EGAD"
"CCOC(=O)C(=CNC(=O)c1ncc(C)cn1)C(=O)OCC","ZINC001194078899","DCAD"
"Cc1nc(C)c(CC(=O)N(C)C2CC(N[C@H](C)C(N)=O)C2)c(O)n1","ZINC000999823720","EBAD"
"CCOC(=O)C[C@H](C)CNC(=O)c1sc2ncccc2c1N","ZINC000602128817","DEAD"
"O=C(CCc1cnn[nH]1)N1CC[C@@H](NC(=O)c2ccccn2)[C@@H](O)C1","ZINC000991205873","EBAD"
"CO[C@@H]1CN(C(C)C)C[C@H]1NC(=O)c1cn(C)cn1","ZINC001081534823","CCAD"
"CCS(=O)(=O)c1ccc(-c2ccc(C(=O)O)cc2F)cc1","ZINC001239257300","DFAD"
"COC(=O)c1ccc(COC(=O)CCc2ccn(C)n2)cc1F","ZINC000795792605","DEAD"
"CC(C)C(=O)N1CC[C@@H]([C@H](C)NC(=O)Cn2ncn(C)c2=O)C1","ZINC001050072999","DBAD"
"COc1nc(C(=O)N[C@@H]2[C@H]3CN(C(=O)[C@@H]4CCOC4)C[C@H]32)co1","ZINC000976881299","DBAD"
"CCCCC(=O)[C@H](C)NC(=O)COc1nc2ccccc2s1","ZINC001182699968","DFAD"
"CCC(CC)[C@@H](C)C(=O)NCCN1CCCC[C@H]1CC","ZINC001293235354","CGAD"
"CC[C@@]1(CNC[C@H]2CNc3ccnn3C2)OCCc2ccccc21","ZINC000648036255","EEAD"
"CCC(=O)N1CC2(C1)CCN(C(=O)[C@H](C)c1ccnn1C)CC2","ZINC000944948286","DDAD"
"O=C(COC1CCCC1)N1CC(O)(CNC(=O)[C@@H]2COC(=O)N2)C1","ZINC001042855957","EAAD"
"CO[C@@H]1CCC[C@@H]1CNC(=O)c1ccc(Cl)s1","ZINC000341607280","CFAD"
"C[C@@]12CN(C[C@H]3CCCC(F)(F)C3)C[C@@H]1CN(C(=O)C1CC1)C2","ZINC001091419854","EGAD"
"CC(=O)Nc1ccc(/C(C)=N/OC[C@@H]2CCS(=O)(=O)C2)cc1","ZINC000278697401","DDED"
"Cn1ncc2c1C[C@H](C(=O)NCC1CC(NC(=O)C(C)(C)C)C1)CC2","ZINC000992330558","EDAD"
"COC(=O)[C@]12C[C@H]1CCCN2C(=O)C[C@H](N)Cc1ccccc1","ZINC001578846478","DDAD"
"COc1cc(F)c(-c2noc(-c3cnc(N)s3)n2)cc1F","ZINC001212922704","DFAD"
"Cc1cncc(CNC2CCc3ccccc3CC2)c1","ZINC000453166208","CGAD"
"C[C@@H](C(=O)Nc1ccc(N2CCN(C)CC2)cc1)[C@H](C)N","ZINC001329234888","CDAD"
"C[C@@H](CNC(=O)CN1CCCNC1=O)S(C)(=O)=O","ZINC001649727860","CAAD"
"Cc1ncc(CC(=O)N(C)C2CN(C(=O)[C@H]3CO[C@@H](C)C3)C2)o1","ZINC000954509967","DCAD"
"Cc1ccoc1C(=O)NC[C@@H](O)CN(C)C(=O)c1ccnc(C)n1","ZINC001371013301","ECAD"
"CC[C@@H]1C[C@H]1C(=O)NCC[C@@H]1CN(Cc2cnoc2C)C[C@H]1C","ZINC001103453019","DFAD"
"CCN(C)C(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(C)=O","ZINC001186625511","DAAD"
"CN(C(=O)NC[C@H]1COCCN1C)[C@H]1CCCCN(C)C1=O","ZINC000637439867","DBAD"
"CC[C@H](OC)C(=O)NCCN(C)Cc1cscn1","ZINC001403510657","CDAD"
"CCCOCC(=O)N1C[C@H](O)[C@H](CNC(=O)CC(=O)NC)C1","ZINC001081431433","DAAD"
"C[C@@H](C#N)C(=O)N[C@@H]1[C@H]2CN(CC(=O)NCC(=O)NC(C)(C)C)C[C@H]21","ZINC001114067439","EBED"
"Cc1ccnc(CN2CC([C@@H](C)NC(=O)CCn3cncn3)C2)n1","ZINC001409861568","ECAD"
"CC(C)(C)CC[C@@H](CO)NC(=O)c1cccc2c1OCO2","ZINC000358396252","CEAD"
"C[C@@H](C(=O)N(C)[C@H]1CCCN(CC(N)=O)CC1)n1cncn1","ZINC000948312425","DBAD"
"O=C(CN1CCNCC1=O)N[C@@H]1CCCC[C@H]1O","ZINC000583870237","CAAD"
"C[C@@H](C(N)=O)N1CC(O)(CNC(=O)[C@H]2CCCS2(=O)=O)C1","ZINC001407468779","DAAD"
"COc1ccc(C)cc1-n1nnnc1S[C@@H]1CCOC1","ZINC000188214624","CDAD"
"CO[C@H]1[C@H]2[C@H]3C[C@@H]1C[C@@H]3CN2C(=O)NCC[C@H](C)N","ZINC000857109353","CCAD"
"O=C(NC[C@H]1CN(CCCF)C[C@H]1O)c1cnn[nH]1","ZINC000958206020","CBAD"
"Cc1ccc(C(=O)N(C)CCCN(C)C(=O)C(N)=O)c2c1CCC2","ZINC001067680940","ECAD"
"NC(=O)c1csc(CNCc2ccc(-n3ccnc3)cc2)c1","ZINC000131835459","DEAD"
"C[C@@H](CC(=O)N[C@@H](CNC(=O)c1ccsc1)C1CC1)C1CC1","ZINC001493471962","DFAD"
"Cc1nnnn1-c1cc(NC(=O)c2cnoc2C2CC2)ccc1F","ZINC001340800891","EEAD"
"O=C(/C=C/c1ccco1)NC[C@@H]1CCN(CC(F)(F)F)C1","ZINC000299048377","DEAD"
"CCN1C(=O)N(CC)[C@@H](NNC(N)=S)[C@@H]1NNC(N)=S","ZINC000003671552","DAAA"
"O=C(Nc1ccc(Cl)cn1)N[C@H]1CCOC2(CCCC2)C1","ZINC000134410552","DGAD"
"Cn1nccc1CNC(=O)[C@@H]1CC12CCN(C(=O)c1cnoc1)CC2","ZINC001270295343","ECAD"
"Cc1ccc(=O)n(CC(=O)N2CCN(CC(=O)N3CCC3)CC2)n1","ZINC000957411602","EAAD"
"Cc1cc(F)ccc1NC(=O)NCCNc1ccc(C#N)cn1","ZINC000915313957","DFED"
"COc1ccc([C@H](C)NCCN2CCSCC2)cc1F","ZINC000223464922","CFAD"
"C/C(=C\C1CCC(C)CC1)C(=O)N1CCOC[C@@H]1C#N","ZINC000818033154","CFED"
"CCOC(=O)Cc1c2ccccc2[nH]c1C(=O)N1CCC[C@]1(C)CO","ZINC000597505508","EEAD"
"Cn1nc(C(=O)NC2(C)CCC(F)(F)CC2)c2c1CCCC2","ZINC000649464208","DFAD"
"CCn1cc(C(=O)NCC2CCN(C(=O)COC)CC2)nn1","ZINC000948649698","DBAD"
"CCCN(CC1CC1)S(=O)(=O)C[C@@H](C)c1ccccc1","ZINC000156922879","CGAD"
"O=C(CNC(=O)N[C@H]1CCNC1)N1CCOCC1","ZINC000571778288","CAAD"
"CN(C)C(=O)c1cncc(N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)c1","ZINC001169975325","EAAD"
"COC1(CC(=O)N[C@H]2CCCN([C@@H](C)c3csnn3)C2)CCC1","ZINC001402059185","EEAD"
"COC[C@@H](C)N1[C@H]2CCC[C@H]1CN(C(=O)c1cc(Cl)c[nH]1)C2","ZINC001039512611","EEAD"
"C[C@@H](CNC(=O)CO[C@H]1CCOC1)NC(=O)Cc1cnn(C)c1","ZINC001386774812","DBAD"
"CCN(C(=O)[C@H]1CCCNC1=O)C1CN(CC2CCCCC2)C1","ZINC000950560252","DDAD"
"CC(C)C[C@@H]1C[C@H](C(=O)N2C[C@@H]3CCC[C@@H]3C2)CC(=O)N1","ZINC000357402557","CEAD"
"Cc1cc(C(=O)N(CCO)CCNC(=O)c2ccn(C)c2)n[nH]1","ZINC001057099151","DBAD"
"CC(C)c1nccn1CCC(=O)N[C@@H](C)CN1CCOCC1","ZINC000074220131","DDAD"
"CCOC(=O)c1cc(N)cn1-c1ccccc1CC(=O)OC","ZINC001213056786","DDAD"
"CCC(CC)(CC)CN[C@@H]1CCN(CC(F)(F)F)C1","ZINC000675239751","CGAD"
"NS(=O)(=O)NC1CN(C(=O)c2cccc(C(=O)O)n2)C1","ZINC001608260871","DAAD"
"CC[C@@H]1CCC[C@H](C)N1C(=O)c1ccnc(S(N)(=O)=O)c1","ZINC000620577442","DDAD"
"CCOc1cccc(C(=O)NCCCNc2nc(C)ncc2C)c1","ZINC001094806825","EFAD"
"CCOCCN1CC[C@H](NC(=O)Cn2cnnc2O)[C@H](O)C1","ZINC001099782917","DAAD"
"CC(C)=CCN1CCC[C@@H](NC(=O)[C@@H]2CC3CCC2CC3)C1","ZINC001009651882","DGAD"
"COCC#CCN1CCCO[C@H](CNC(=O)[C@H]2CNC(=O)N2)C1","ZINC001150192404","DAED"
"Cc1nonc1CC(=O)NC[C@@H]1CCC2(CN(C(=O)[C@@H](C)C#N)C2)O1","ZINC001068622499","EBED"
"O=C(C#CC1CC1)NC[C@H]1CCN(c2ncnc3c2CCCCC3)C1","ZINC001100978737","EEED"
"CC(=O)NC[C@H]1C[C@H](NC(=O)c2ncn(-c3ccccc3)n2)C1","ZINC000979376082","DCAD"
"CCc1cc(C(=O)N2CCC[C@@H]3[C@H]2CCN3C(=O)CC(C)C)n[nH]1","ZINC000962793872","EEAD"
"CC(C)[C@@H](CNC(=O)[C@H](C)n1cncn1)N1CCC(C)CC1","ZINC000041400982","DDAD"
"CO[C@@H](C)C(=O)N1CC[C@H](NCCN2C(=O)CCC2=O)[C@@H]1C","ZINC001074554065","DBAD"
"CC(=O)N(CC(=O)N[C@]1(C)CCCC[C@H]1C)c1ccccc1","ZINC000891417602","DGAD"
"N#Cc1cccc(NC(=O)N[C@@H](CO)CC2OCCO2)n1","ZINC001414466116","CCED"
"c1cc2c(c(NCC[C@H]3CCOC34CNC4)c1)CCN2","ZINC001163093650","CDAD"
"CCc1nnc(N2CCN(C(=O)COC)CC2)n1CC1(C)CC1","ZINC001401452006","DCAD"
"COCc1cc(OC)ccc1-n1nc2cc(N)ccc2c1C","ZINC001215980646","CGAD"
"CC(C)N(C)CCNC[C@@H](O)COc1ccccc1C#N","ZINC000054112481","CDED"
"CCc1onc(C)c1CNCC[C@H]1CCCN(C(=O)C2CC2)C1","ZINC001753537023","DFAD"
"CC[C@H](C)c1ccc(C(=O)N2CCN(CCCF)CC2)cc1","ZINC000862112533","DGAD"
"NC(=O)Cn1cc(CN2CCC(C(N)=O)CC2)nn1","ZINC001658668656","CAAD"
"Cc1n[nH]c(C)c1CC(=O)N(C)CCCN(C)C[C@H](C)O","ZINC001407948289","CCAD"
"CC(C)O[C@H]1CCCN(C(=O)Nc2cnn(CCF)c2)C1","ZINC000626780537","CEAD"
"CCc1nnc(N2CCN(CC3CC3)CC2)n1CCC(C)(C)O","ZINC001513929401","DDAD"
"CN(C)c1ccc(NC(=S)N2CCC[C@@](C)(CN)CC2)cc1","ZINC001239411315","DFAD"
"Cc1ocnc1CNC(=O)N1CCC[C@@H](CCC(=O)O)C1","ZINC000397970470","CDAD"
"Cc1nn(C)c(C)c1S(=O)(=O)Nc1cncc(-c2ccccn2)c1","ZINC001260105944","EEAD"
"C=C[C@](C)(CC)C(=O)N(CC)C1CN(C(=O)[C@@H](CCC)OC)C1","ZINC001080465343","DEED"
"Cc1cc2[nH]c(CNCCN3CCOC(C)(C)C3)cc2c(C)c1","ZINC000359083022","DFAD"
"Cc1cnc(F)cc1-n1cc(Cl)c(Cl)c(N)c1=N","ZINC001212848118","CFAD"
"Cc1nc(CN2[C@@H]3CC[C@H]2[C@H](NC(=O)CCCC(C)(C)C)C3)n[nH]1","ZINC001110392144","EFAD"
"Cc1ccnc(NC[C@H]2C[C@@H](O)C2)c1Br","ZINC000624666720","CEAD"
"CN(C)c1ccc(CCNC[C@H](O)COc2ccc(Cl)cc2)cc1","ZINC001250682013","EFAD"
"C[C@@H](Cc1cccnc1)NC(=O)C(=O)NCCN","ZINC000911268029","CBAD"
"CSCC[C@@H](CO)NC(=O)NC[C@@H]1CN(C)CCO1","ZINC000352144949","CBAD"
"CNC(=O)NCC(=O)NC1CN(C(=O)c2cc(C)ncn2)C1","ZINC001430209947","DAAD"
"Cc1noc(CCC(=O)N[C@H](CNCC(=O)N(C)C)C2CC2)n1","ZINC001420765956","DBAD"
"COC(=O)CC[C@@H](Sc1cccs1)C(=O)O","ZINC001606448485","CEAD"
"O=C(OCc1ccc(N2CCOCC2)cc1)C1(F)CCOCC1","ZINC000875628598","DEAD"
"C[C@@H](CCNC(=O)c1ccncc1F)NC(=O)[C@@H]1CCC1(C)C","ZINC001076017310","DEAD"
"COCC(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)CN1C(=O)CNC1=O","ZINC001848030429","DAAD"
"Cc1cc(CNC[C@H](F)C(=O)O)cc2cccnc12","ZINC001334845358","CEAD"
"COc1nc(C)cc(NC[C@@H](NC(=O)C2(C)CCCC2)C2CC2)n1","ZINC001109941665","EFAD"
"C[C@H](CN(C)C(=O)Cc1nc[nH]n1)NCc1nc(C2CC2)no1","ZINC001425680690","DCAD"
"CN(C)C(=O)COc1ccc(NC(=O)[C@]23C[C@H]2CCN3)cc1","ZINC000567666901","DCAD"
"C[C@@H]1CCC[C@H](C(=O)N2CCC(C(=O)O)([S@@](C)=O)CC2)C1","ZINC000909833809","DDAD"
"CO[C@@H]1[C@@H](C)[C@@H](NC(=O)c2coc(=O)c3ccccc23)C1(C)C","ZINC000424759440","DFAD"
"Cc1cc(C(=O)NCC2(Nc3nc(C(C)C)ns3)CC2)ns1","ZINC001110125545","EFAD"
"CC(C)n1nnnc1CN1CC(NC(=O)c2cc(C(N)=O)cn2C)C1","ZINC001030614543","EBAD"
"CC(C)SCC(=O)N[C@@H](C)CCNC(=O)c1csc(Cl)n1","ZINC001078406399","EFAD"
"O=C(NCCN[C@H]1CCC(=O)NC1=O)c1cn2c(n1)CCC2","ZINC001127633036","DAAD"
"CCc1cccnc1C(=O)NC[C@H]1CCN1CC[C@H](C)F","ZINC001038435091","CEAD"
"Cc1nc[nH]c1CC(=O)NC[C@@H]1CCN(c2ccc(Cl)cc2)C1","ZINC001361987009","EFAD"
"CC(=O)N1CCN(C(=O)CCNC(=O)[C@](C)(O)C2CCC2)CC1","ZINC000362761916","EBAD"
"O=C(NCCCNCC1CCCCCC1)[C@H]1[C@@H]2CCC[C@@H]21","ZINC001156267512","CGAD"
"Cc1cc(CC(=O)NCCNCC(=O)N2CCC[C@H](C)C2)n[nH]1","ZINC001125546908","DCAD"
"Cc1c[nH]nc1CNc1ccc(C(=O)N[C@@H](C)CO)cc1","ZINC000356334401","CDAD"
"CCN(C)C(=O)CN1CC[C@@](C)(NC(=O)c2csnn2)C1","ZINC001500244115","DCAD"
"C[C@H](NC(=O)[C@H](NC(N)=O)C(C)(C)C)C(=O)NCCF","ZINC001412892008","CBAD"
"Cc1ccn(C)c1C(=O)NC[C@H](O)CNCc1ccccc1C1CC1","ZINC001482726179","EEAD"
"CC(C)(CC(=O)O)NC(=O)c1cc(-n2cccn2)ccn1","ZINC000736313097","CDAD"
"Cn1nnc(C(=O)N2CC[C@H](NC(=O)c3csnn3)C2)n1","ZINC000938339579","DAAD"
"CC(C)(C)CC(=O)NCC1(O)CN(C(=O)[C@H]2CCS(=O)(=O)N2)C1","ZINC001041496085","EAAD"
"Cc1nonc1C(=O)N[C@@H](C)CCCCNCC1CCCCCC1","ZINC001176848524","EGAD"
"C=C(C)[C@@H]1OCC[C@@H]1C(=O)N1CC(CNC(=O)[C@H]2CCC(=O)N2)C1","ZINC001001216169","EBED"
"N#CCc1ccc(CN[C@H](c2ccccn2)C2CC2)cc1","ZINC000932384455","CGED"
"COC(=O)[C@@H]1C[C@H](O)CN1S(=O)(=O)C[C@@H](C)OC","ZINC000520610868","CAAD"
"CC(=O)N[C@H](CC(=O)N[C@@H]1C[C@]1(C)c1ccccc1)c1cccs1","ZINC000607597974","EGAD"
"CC(C)(C)/C=C/C(=O)NC1(CNC(=O)CCC(F)F)CCC1","ZINC001063662044","DFAD"
"C[C@H]1CN(C(=O)C2CCCC2)CC[C@@H]1NC(=O)C1(C)CCCC1","ZINC000945109664","DGAD"
"C[C@@H](N[C@@H](C)CNC(=O)c1cc(C(F)F)n(C)n1)c1ccccc1","ZINC001399001918","EFAD"
"C[C@H](OC[C@@H]1CCCO1)C(=O)N1C[C@H](O)C[C@H]1c1ccccc1","ZINC000665979363","DDAD"
"C[C@@H]1CN(C(=O)/C=C/c2cccc(OC3CCCC3)c2)C[C@H]1O","ZINC000769126747","DFAD"
"CC(C)N1CCC[C@H](OC(=O)CNC(=O)Cc2ccc(O)cc2)C1=O","ZINC000748185560","ECAD"
"COC(=O)Cc1nnc(NC(=O)[C@@H]2CCCN2)[nH]1","ZINC000261669285","CBAD"
